Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Papas picantes.jpg,0.524978898672612,None,0,1,1,3,0,21,21,27,,,,,,,,,,,,,,,,,,,,,,,98.32450345998805,99.3243467999855,99.30793650000123,None,5.9609375,1.395447199989576,99.30793650000123,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,1,1,3,0,22,22,12,,,,,,,,,,,,,,,,,,,,,,,99.74108155999275,100.74107660001027,100.74107660001027,None,5.9609375,1.4548367999959737,100.74107660001027,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Pizza.png,0.21192443516553439,None,0,1,1,3,0,23,23,31,,,,,,,,,,,,,,,,,,,,,,,101.22465355999012,102.22447590000229,102.22447590000229,None,5.9609375,1.1358223999850452,102.22447590000229,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Pizzetas.png,0.3295951589873042,None,0,1,1,3,0,24,24,32,,,,,,,,,,,,,,,,,,,,,,,102.40772872000235,None,103.39118869998492,None,5.9609375,1.2646048000024166,103.39118869998492,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,1,1,3,0,25,25,15,,,,,,,,,,,,,,,,,,,,,,,103.69092466000293,104.69101239999873,104.69101239999873,None,5.9609375,1.3420270000060555,104.69101239999873,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,1,1,3,0,26,26,13,,,,,,,,,,,,,,,,,,,,,,,105.05702905999206,106.05793740000809,106.05793740000809,None,5.9609375,1.4755996000021696,106.05793740000809,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Canelazo.png,0.6730479360767814,None,0,1,1,3,0,27,27,22,,,,,,,,,,,,,,,,,,,,,,,106.57411321998808,107.5743599999987,107.5743599999987,None,5.9609375,1.559221699979389,107.5743599999987,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Almojabanas.png,0.6725051200713246,None,0,1,1,3,0,28,28,20,,,,,,,,,,,,,,,,,,,,,,,108.17424122000813,None,109.17442910000682,None,5.9609375,1.8593124999897555,109.17442910000682,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,1,1,3,0,29,29,35,,,,,,,,,,,,,,,,,,,,,,,110.05768806000415,None,111.04139199998463,None,5.9609375,1.6137212000030559,111.04139199998463,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Pepinillos.png,0.0038966441241518046,None,0,1,1,3,0,30,30,28,,,,,,,,,,,,,,,,,,,,,,,111.70739971998847,None,112.6909539999906,None,None,None,112.6909539999906,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
